term	reading	rank	meaning
えーっと	エーット	4997	let me see; well; errr ...; uhh ...
いやー	イヤー	4998	
ほれ	ホレ	4999	look!; see!; here!; there!; hey!
こんなふうに	コンナフウニ	5000	
開ける	ヒラケル	5001	to open out (of a view, scenery, etc.); to spread out; to become clear (of a road, visibility, etc.); to open up
十数	ジュウスウ	5002	
強制	キョウセイ	5003	compulsion; coercion; forcing (to do); enforcement
立ち向かう	タチムカウ	5004	
機関	キカン	5005	engine
上等	ジョウトウ	5006	superior; first-class; excellent; top quality
迫力	ハクリョク	5007	impressiveness; impact; force; intensity; presence; appeal; strength; punch; edge; vigor
箸	ハシ	5008	chopsticks
託する	タクスル	5009	
身構える	ミガマエル	5010	
黙り込む	ダマリコム	5011	
開催	カイサイ	5012	holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)
物事	モノゴト	5013	things; everything
に従い	ニシタガイ	5014	
製	セイ	5015	make; manufacture; -made; made of ...; made in ...
渦	ウズ	5016	whirlpool; swirl; eddy; vortex; maelstrom
気にするな	キニスルナ	5017	
留める	トメル	5018	to stop; to turn off
馴染む	ナジム	5019	to become familiar with; to get used to; to become accustomed to; to adapt oneself to; to become attached to; to become friendly with
突如	トツジョ	5020	suddenly; all of a sudden; unexpectedly
駆け抜ける	カケヌケル	5021	
束	タバ	5022	bundle; bunch; sheaf
両者	リョウシャ	5023	pair; the two; both persons; both things
営業	エイギョウ	5024	business; trade; operations
口を挟む	クチヲハサム	5025	
何だって	ナンダッテ	5026	
尋常	ジンジョウ	5027	common; usual
どうにかなる	ドウニカナル	5028	
脳内	ノウナイ	5029	
くるり	クルリ	5030	
絶句	ゼック	5031	being lost for words; becoming speechless
辺	ヘン	5032	area; vicinity; region
痙攣	ケイレン	5033	
神聖	シンセイ	5034	holiness; sacredness; sanctity; dignity
採用	サイヨウ	5035	use; adoption; acceptance
些細	ササイ	5036	trivial; trifling; slight; insignificant
とは限らない	トハカギラナイ	5037	not necessarily so; is not always true; there is no guarantee that ...; there is no telling
考慮	コウリョ	5038	consideration; taking into account
駆る	カル	5039	to spur on; to urge forward; to impel
赤ん坊	アカンボウ	5040	baby; infant
本質	ホンシツ	5041	essence; true nature; substance; reality
オーラ	オーラ	5042	
そういうことか	ソウイウコトカ	5043	
憎しみ	ニクシミ	5044	hatred
誘惑	ユウワク	5045	temptation; allurement; lure; enticement; seduction
がっかり	ガッカリ	5046	to be disappointed; to be dejected; to be downhearted; to be discouraged; to be disheartened; to lose heart; to feel let down
体格	タイカク	5047	build; physique; frame; constitution
州	シュウ	5048	state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK); region (e.g. of Italy); canton; oblast
一瞥	イチベツ	5049	
露骨	ロコツ	5050	open; unconcealed; undisguised; blatant; plain; frank
生地	キジ	5051	cloth; fabric; material; texture
擦る	スル	5052	to rub; to chafe; to strike (match); to file; to frost (glass)
人材	ジンザイ	5053	capable person; talented person
運営	ウンエイ	5054	management; administration; operation
何事か	ナニゴトカ	5055	
出来	デキ	5056	workmanship; craftsmanship; execution; finish
着物	キモノ	5057	kimono; Japanese traditional clothing (esp. full-length)
作り上げる	ツクリアゲル	5058	to build up; to complete; to construct; to create; to put together
歪める	ユガメル	5059	
再	サイ	5060	re-; again
結果的	ケッカテキ	5061	
獲得	カクトク	5062	acquisition; possession
上回る	ウワマワル	5063	to exceed (esp. figures: profits, unemployment rate, etc.); to surpass; to be more than; to be better than
突進	トッシン	5064	rush; dash; charge
資金	シキン	5065	funds; capital
降ろす	オロス	5066	to take down; to bring down; to lower (a hand, flag, shutter, etc.); to drop (an anchor, curtain, etc.); to let down (hair); to launch (a boat)
猿	サル	5067	monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate
チャイム	チャイム	5068	
称する	ショウスル	5069	to call; to name
爽やか	サワヤカ	5070	fresh; refreshing; invigorating; pleasant; delightful
崖	ガケ	5071	cliff; precipice
正気	ショウキ	5072	
くむ	クム	5073	to draw (water); to ladle; to dip up; to scoop up; to pump
くすぐる	クスグル	5074	to tickle
癒す	イヤス	5075	
生まれ	ウマレ	5076	birth; birthplace
へー	ヘー	5077	
見出す	ミイダス	5078	to find out; to discover; to notice; to detect
つき	ツキ	5079	desk
わざとらしい	ワザトラシイ	5080	
ってね	ッテネ	5081	
だます	ダマス	5082	to trick; to cheat; to deceive; to swindle; to dupe
ましてや	マシテヤ	5083	
ぞう	ゾウ	5084	
仕掛け	シカケ	5085	device; contrivance; mechanism; gadget
割に	ワリニ	5086	comparatively; relatively; fairly; rather; pretty; unexpectedly
受付	ウケツケ	5087	reception (desk); information desk; receptionist; information clerk
のる	ノル	5088	to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark
膝をつく	ヒザヲツク	5089	
こと自体	コトジタイ	5090	
からといって	カラトイッテ	5091	
しる	シル	5092	juice; sap
当然のこと	トウゼンノコト	5093	
ていい	テイイ	5094	
一つ一つ	ヒトツヒトツ	5095	one-by-one; separately; in detail
もむ	モム	5096	to rub; to crumple
あわせる	アワセル	5097	to match (rhythm, speed, etc.)
引きつる	ヒキツル	5098	to have a cramp; to twitch; to spasm
そん	ソン	5099	
しき	シキ	5100	the four seasons
印	シルシ	5101	mark; sign
センス	センス	5102	folding fan
耳に入る	ミミニハイル	5103	
案の定	アンノジョウ	5104	as expected; just as one thought; as feared; sure enough
悪化	アッカ	5105	deterioration; getting worse; worsening; aggravation; degeneration; corruption
数時間	スウジカン	5106	a few hours; several hours; a couple of hours
繰り広げる	クリヒロゲル	5107	to unfold; to unroll; to open
気軽	キガル	5108	carefree; buoyant; lighthearted; sprightly
目を輝かす	メヲカガヤカス	5109	
過程	カテイ	5110	process; course; mechanism
泣き出す	ナキダス	5111	
前髪	マエガミ	5112	forelock; bangs
重み	オモミ	5113	weight
出してくれる	ダシテクレル	5114	
武装	ブソウ	5115	arms; armament; taking up arms; arming oneself
ほらほら	ホラホラ	5116	
ニヤニヤ	ニヤニヤ	5117	grinning; smirking
一層	イッソウ	5118	even more; still more; all the more; more than ever
恥	ハジ	5119	shame; embarrassment; disgrace
肩を落とす	カタヲオトス	5120	
たげる	タゲル	5121	
よくする	ヨクスル	5122	
語	ゴ	5123	word; term
泉	イズミ	5124	spring; fountain
深める	フカメル	5125	to deepen; to heighten; to intensify
通	ツウ	5126	authority; expert; connoisseur; well-informed person
宗教	シュウキョウ	5127	religion; religious affiliation; belief; faith; creed
指示を出す	シジヲダス	5128	
モード	モード	5129	
路地	ロジ	5130	alley; alleyway; lane
未知	ミチ	5131	not yet known; unknown; strange
副	フク	5132	assistant; associate; vice-; sub-; deputy; substitute; auxiliary; supplementary; additional; collateral
憎悪	ゾウオ	5133	hatred; abhorrence; loathing; detestation
傷口	キズグチ	5134	(opening of a) wound; cut
力を貸す	チカラヲカス	5135	
この場合	コノバアイ	5136	
思想	シソウ	5137	thought; idea; ideology
遊びに行く	アソビニイク	5138	
ストレス	ストレス	5139	
こういった	コウイッタ	5140	this sort of; this type of
手加減	テカゲン	5141	
勤める	ツトメル	5142	to work (for, at, in); to be employed (at); to serve (as)
我ながら	ワレナガラ	5143	
前向き	マエムキ	5144	front-facing
沈める	シズメル	5145	to sink (e.g. a ship); to submerge
抗う	アラガウ	5146	
幕	マク	5147	curtain
比較	ヒカク	5148	comparison
揺さぶる	ユサブル	5149	to shake; to jolt; to rock; to swing; to sway
傾ける	カタムケル	5150	to incline; to lean; to tip; to tilt; to slant; to bend; to list
広大	コウダイ	5151	vast; extensive; immense; huge; large; grand; magnificent
無謀	ムボウ	5152	reckless; thoughtless; rash; ill-advised; impulsive; mad (e.g. scheme)
偽物	ニセモノ	5153	spurious article; forgery; counterfeit; imitation; sham
顔を見せる	カオヲミセル	5154	
痕跡	コンセキ	5155	trace; vestige; mark; sign; evidence
殺意	サツイ	5156	intent to kill; intent to murder; urge to kill; murderous impulse
一段	イチダン	5157	even more; still more; much more; further
賑やか	ニギヤカ	5158	bustling; busy; crowded; lively; prosperous; thriving
ベル	ベル	5159	
咳払い	セキバライ	5160	
青白い	アオジロイ	5161	pale; pallid
代物	シロモノ	5162	
教科書	キョウカショ	5163	textbook; coursebook; schoolbook
っぷり	ップリ	5164	
宝	タカラ	5165	treasure
であるから	デアルカラ	5166	
巣	ス	5167	nest; rookery; breeding place; hive
娘さん	ムスメサン	5168	
密着	ミッチャク	5169	close adhesion; sticking firmly (to); being glued (to)
浮かれる	ウカレル	5170	to make merry; to be festive
破滅	ハメツ	5171	ruin; destruction; fall
上品	ジョウヒン	5172	elegant; refined; polished; stylish; sophisticated
赴く	オモムク	5173	to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
転がす	コロガス	5174	to roll; to wheel; to trundle; to drive (a car)
ヒント	ヒント	5175	
果て	ハテ	5176	end; extremity; limit
察知	サッチ	5177	to sense; to infer; to gather; to pick up on; to get wind of; to perceive
跳ぶ	トブ	5178	to fly; to soar
広まる	ヒロマル	5179	to spread; to be propagated
奥様	オクサマ	5180	wife; your wife; his wife; married lady; madam
懸念	ケネン	5181	worry; fear; anxiety; concern
中断	チュウダン	5182	interruption; suspension; break
単位	タンイ	5183	unit (e.g. meters, grams, etc.); denomination
妨害	ボウガイ	5184	obstruction; hindrance; blocking; disturbance; interference; interruption; sabotage; jamming (a signal)
犯罪者	ハンザイシャ	5185	criminal; culprit
頼りない	タヨリナイ	5186	unreliable; undependable; indefinite; vague
見返す	ミカエス	5187	to look (stare) back at (someone)
砂糖	サトウ	5188	sugar
にやり	ニヤリ	5189	
べつに	ベツニ	5190	(not) particularly; (not) especially; (not) specially
おのれ	オノレ	5191	oneself (itself, etc.)
興味ない	キョウミナイ	5192	
あらかじめ	アラカジメ	5193	beforehand; in advance; ahead of time; previously
何という	ナントイウ	5194	how (beautiful, tasty, etc.); what a ...
３つ	ミッツ	5195	three
おずおず	オズオズ	5196	
片づける	カタヅケル	5197	to put in order; to tidy up; to clean up; to put away; to clear away
ごはん	ゴハン	5198	cooked rice
きゃっ	キャッ	5199	
さりげない	サリゲナイ	5200	
月	ゲツ	5202	Moon
刹那	セツナ	5204	moment; instant
ついで	ツイデ	5205	opportunity; occasion; chance
二百	ニヒャク	5206	200; two hundred
手を貸す	テヲカス	5207	
潜り込む	モグリコム	5208	
手術	シュジュツ	5209	surgery; operation; procedure
持ち帰る	モチカエル	5210	to take home; to carry home; to bring back home; to take out (e.g. food)
ものですから	モノデスカラ	5211	
生き延びる	イキノビル	5212	
むく	ムク	5213	
早朝	ソウチョウ	5214	early morning
揺らぐ	ユラグ	5215	to swing; to sway; to shake; to tremble
バッグ	バッグ	5216	
対面	タイメン	5217	meeting face-to-face; seeing in person
症状	ショウジョウ	5218	symptoms; condition (of a patient)
動画	ドウガ	5219	video (esp. digital); video clip; clip
毛布	モウフ	5220	blanket
どんだけ	ドンダケ	5221	
